"Código","Clave","Descripción","DUN-14 Inner","DUN-14 Master"
"44230","AB-04","Bolsa con 10 abrazaderas mini, reforzadas # 4, 3/8 - 5/8'",17501206693923,27501206693920
"44231","AB-06","Bolsa con 10 abrazaderas mini, reforzadas # 6, 1/2 - 3/4'",17501206693930,27501206693937
"44256","AB-07","Bolsa con 10 abrazaderas mini, reforzadas #7, 1/2 - 7/8'",17506240645464,27506240645461
"44235","AB-10","Bolsa con 10 abrazaderas reforzadas # 10, 3/4 - 1-1/16'",17501206693978,27501206693975
"44254","AB-104","Bolsa con 5 abrazaderas reforzadas # 104, 6-1/8 - 7', Fiero",17501206694166,27501206694163
"44236","AB-12","Bolsa con 10 abrazaderas reforzadas # 12, 5/8 - 1-1/4'",17501206693985,27501206693982
"44237","AB-16","Bolsa con 10 abrazaderas reforzadas # 16, 3/4 - 1-1/2'",17501206693992,27501206693999
"44238","AB-20","Bolsa con 10 abrazaderas reforzadas # 20, 3/4 - 1-3/4'",17501206694005,27501206694002
"44239","AB-24","Bolsa con 10 abrazaderas reforzadas # 24, 1-1/4 - 2', Fiero",17501206694012,27501206694019
"44240","AB-28","Bolsa con 10 abrazaderas reforzadas # 28, 1-1/2 - 2-1/4'",17501206694029,27501206694026
"44241","AB-32","Bolsa con 5 abrazaderas reforzadas # 32, 1-9/16 - 2-1/2'",17501206694036,27501206694033
"44242","AB-36","Bolsa con 5 abrazaderas reforzadas # 36, 1-13/16 - 2-3/4'",17501206694043,27501206694040
"44232","AB-4","Bolsa con 10 abrazaderas reforzadas # 4, 3/8 - 5/8', Fiero",17501206693947,27501206693944
"44243","AB-40","Bolsa con 5 abrazaderas reforzadas # 40, 2-1/4 - 3', Fiero",17501206694050,27501206694057
"44244","AB-44","Bolsa con 5 abrazaderas reforzadas # 44, 2-5/8 - 3-1/4'",17501206694067,27501206694064
"44245","AB-48","Bolsa con 5 abrazaderas reforzadas # 48, 2-9/16 - 3-1/2'",17501206694074,27501206694071
"44246","AB-52","Bolsa con 5 abrazaderas reforzadas # 52, 3-13/16 - 3-3/4'",17501206694081,27501206694088
"44247","AB-56","Bolsa con 5 abrazaderas reforzadas # 56, 3-1/16 - 4', Fiero",17501206694098,27501206694095
"44233","AB-6","Bolsa con 10 abrazaderas reforzadas # 6, 1/2 - 3/4', Fiero",17501206693954,27501206693951
"44248","AB-60","Bolsa con 5 abrazaderas reforzadas # 60, 3-5/16 - 4-1/4'",17501206694104,27501206694101
"44249","AB-64","Bolsa con 5 abrazaderas reforzadas # 64, 3-9/16 - 3-1/2'",17501206694111,27501206694118
"44257","AB-7","Bolsa con 10 abrazaderas reforzadas #7, 9/16 - 1-1/16'",17506240645471,27506240645478
"44250","AB-72","Bolsa con 5 abrazaderas reforzadas # 72, 4-1/8 - 5', Fiero",17501206694128,27501206694125
"44234","AB-8","Bolsa con 10 abrazaderas reforzadas # 8, 5/8 - 7/8', Fiero",17501206693961,27501206693968
"44251","AB-80","Bolsa con 5 abrazaderas reforzadas # 80, 4-5/8 - 5-1/2'",17501206694135,27501206694132
