"Código","Clave","Descripción","DUN-14 Inner","DUN-14 Master"
"100300","COMP-KIT25","Kit, compresor 25 L, 3 HP, manguera de PVC y pistola, Truper",17506240676727,27506240676724
"22066","COMP-KIT40P","Kit, compresor 40 L, manguera de PVC y pistola, Pretul",17506240676710,27506240676717
"16095","COMP-KIT50","Kit, compresor 50 L, 3-1/2 HP, manguera de PVC y pistola",17506240658549,27506240658546
"101455","COMP-KIT50C","Kit compresor 50 L, clavadora CLNE-18 cal 18 y manguera",17506240688584,27506240688581
"24990","CON-10M","Contador manual de 4 dígitos, Pretul",17506240618727,27506240618724
"101150","CON-MOTO2","Kit de conector de descarga para MOTB-2, Truper",17506240682964,27506240682961
"101151","CON-MOTO3","Kit de conector de descarga para MOTB-3, Truper",17506240682971,27506240682978
"101152","CON-MOTO4","Kit de conector de descarga para MOTB-4, Truper",17506240682988,27506240682985
"46952","CONCO-1","Conector conduit 1', Volteck",17501206659660,27501206659667
"46950","CONCO-1/2","Conector conduit 1/2', Volteck",17501206659646,27501206659643
"46951","CONCO-3/4","Conector conduit 3/4', Volteck",17501206659653,27501206659650
"101946","CONE-BOSM","Kit de conector y empaque p/bombas sumergibles metálicas",17506240695506,27506240695503
"101948","CONE-BOSP","Kit de conector y empaque p/bombas sumergibles plásticas",17506240695513,27506240695510
"13120","CONO-45","Cono de precaución de 45 cm de PVC, Truper",17506240600432,27506240600439
"13121","CONO-45R","Cono de precaución de 45 cm de PVC con reflejante, Truper",17506240600449,27506240600446
"100438","CONO-45RX","Cono de precaución de 45 cm de PVC con reflejante, Expert",17506240679865,27506240679862
"100437","CONO-45X","Cono de precaución de 45 cm de PVC, uso rudo, Expert",17506240679858,27506240679855
"13122","CONO-70","Cono de precaución de 70 cm de PVC, Truper",17506240600456,27506240600453
"13123","CONO-70R","Cono de precaución de 70 cm de PVC con reflejante, Truper",17506240600463,27506240600460
"100450","CONO-70RX","Cono de precaución de 70 cm de PVC con reflejante, Expert",17506240679889,27506240679886
"100439","CONO-70X","Cono de precaución de 70 cm de PVC, uso rudo, Expert",17506240679872,27506240679879
"13126","CONO-90","Cono de precaución de 90 cm de PVC, Truper",17506240638916,27506240638913
"13127","CONO-90R","Cono de precaución de 90 cm de PVC con reflejante, Truper",17506240638923,27506240638920
"100452","CONO-90RX","Cono de precaución de 90 cm de PVC con reflejante, Expert",17506240679902,27506240679909
"46117","COP-A","Contacto industrial plástico aterrizado, 2 polos+tierra",17501206658625,27501206658622
"46118","COP-CH","Contacto industrial plástico aterrizado cara de chino",17501206658533,27501206658530
"46116","COP-S","Contacto industrial plástico polarizado, Volteck",17501206658618,27501206658615
"46955","COPCO-1","Cople conduit 1', Volteck",17501206659691,27501206659698
"46953","COPCO-1/2","Cople conduit 1/2', Volteck",17501206659677,27501206659674
"46954","COPCO-3/4","Cople conduit 3/4', Volteck",17501206659684,27501206659681
"44294","COPE-10","Paquete de 12 correas con pechera para perro, 1 cm ancho",17506240645945,27506240645942
"44295","COPE-15","Paquete de 12 correas con pechera para perro, 1.5 cm ancho",17506240645952,27506240645959
"17335","COPLA-40","Cortadora de plasma de 40 A, Truper",17506240663291,27506240663298
"17332","COPLA-60X","Cortadora de plasma de 60 A, Truper Expert",17506240664472,27506240664479
"19025","COPLE","Cople de latón, tipo FF, cuerda 1/4 NPT, Truper",17501206602352,27501206602359
"19084","COPLE-HEM-1/4","Cople de latón, cuerda 1/4 NPT, hembra, Truper",17501206619862,27501206619869
"27028","COPLE-HEM-1/4P","Cople acero, cuerda 1/4NPT, hembra, Pretul",17501206681708,27501206681705
"19085","COPLE-MA-1/4","Cople de latón, cuerda 1/4 NPT, macho, Truper",17501206619855,27501206619852
"27029","COPLE-MA-1/4P","Cople acero, cuerda 1/4NPT, macho, Pretul",17501206681739,27501206681736
"27027","COPLE-P","Cople acero, cuerda 1/4 NPT, Pretul",17501206681692,27501206681699
"43277","COR-230","Bolsa con 2 correderas extensión 30 cm p/cajón, ancho 2.5 cm",17506240652332,27506240652339
"43278","COR-235","Bolsa con 2 correderas extensión 35 cm p/cajón, ancho 2.5 cm",17506240652349,27506240652346
"43279","COR-240","Bolsa con 2 correderas extensión 40 cm p/cajón, ancho 2.5 cm",17506240652356,27506240652353
"43280","COR-245","Bolsa con 2 correderas extensión 45 cm p/cajón, ancho 2.5 cm",17506240652363,27506240652360
"43281","COR-250","Bolsa con 2 correderas extensión 50 cm p/cajón, ancho 2.5 cm",17506240652370,27506240652377
"43282","COR-255","Bolsa con 2 correderas extensión 55 cm p/cajón, ancho 2.5 cm",17506240652387,27506240652384
"43283","COR-260","Bolsa con 2 correderas extensión 60 cm p/cajón, ancho 2.5 cm",17506240652394,27506240652391
"43284","COR-330","Bolsa con 2 correderas extensión 30 cm p/cajón, ancho 3.5 cm",17506240652400,27506240652407
"43285","COR-335","Bolsa con 2 correderas extensión 35 cm p/cajón, ancho 3.5 cm",17506240652417,27506240652414
"43286","COR-340","Bolsa con 2 correderas extensión 40 cm p/cajón, ancho 3.5 cm",17506240652424,27506240652421
"43287","COR-345","Bolsa con 2 correderas extensión 45 cm p/cajón, ancho 3.5 cm",17506240652431,27506240652438
"43288","COR-350","Bolsa con 2 correderas extensión 50 cm p/cajón, ancho 3.5 cm",17506240652448,27506240652445
"43289","COR-355","Bolsa con 2 correderas extensión 55 cm p/cajón, ancho 3.5 cm",17506240652455,27506240652452
"43290","COR-360","Bolsa con 2 correderas extensión 60 cm p/cajón, ancho 3.5 cm",17506240652462,27506240652469
"43270","COR-430","Bolsa con 2 correderas extensión 30 cm p/cajón, ancho 4.5 cm",17506240652264,27506240652261
"43271","COR-435","Bolsa con 2 correderas extensión 35 cm p/cajón, ancho 4.5 cm",17506240652271,27506240652278
"43272","COR-440","Bolsa con 2 correderas extensión 40 cm p/cajón, ancho 4.5 cm",17506240652288,27506240652285
"43273","COR-445","Bolsa con 2 correderas extensión 45 cm p/cajón, ancho 4.5 cm",17506240652295,27506240652292
"43274","COR-450","Bolsa con 2 correderas extensión 50 cm p/cajón, ancho 4.5 cm",17506240652301,27506240652308
"43275","COR-455","Bolsa con 2 correderas extensión 55 cm p/cajón, ancho 4.5 cm",17506240652318,27506240652315
"43276","COR-460","Bolsa con 2 correderas extensión 60 cm p/cajón, ancho 4.5 cm",17506240652325,27506240652322
"43355","COR-50","Candado antipalanca, 50mm, cuerpo de latón llave tradicional",17501206677435,27501206677432
"22515","COR-50HP","Candado antipalanca 50 mm cuerpo de hierro, Hermex Basic",17506240639678,27506240639675
"22516","COR-60HP","Candado antipalanca 60 mm cuerpo de hierro, Hermex Basic",17506240639685,27506240639682
"22518","COR-60P","Candado antipalanca 60 mm cuerpo de latón, Hermex Basic",17506240639708,27506240639705
"43356","COR-65","Candado antipalanca, 65mm, cuerpo de latón llave tradicional",17501206677442,27501206677449
"22514","COR-65ZP","Candado antipalanca 65 mm cuerpo metálico, Hermex Basic",17506240638558,27506240638555
"23540","COR-70HP","Candado antipalanca 70 mm cuerpo de hierro, Hermex Basic",17501206692957,27501206692954
"43357","COR-75","Candado antipalanca, 75mm, cuerpo de latón llave tradicional",17501206677459,27501206677456
"23512","COR-75P","Candado antipalanca 75 mm cuerpo de latón, Hermex Basic",17501206693237,27501206693234
"43354","COR-75Q","Candado antipalanca, 75mm, cuerpo de latón, llave puntos",17501206672409,27501206672406
"43353","COR-75X","Candado antipalanca, 75mm, cuerpo de latón, llave tetra",17501206672393,27501206672390
"23524","COR-75ZP","Candado antipalanca 75 mm cuerpo metálico, Hermex Basic",17501206658298,27501206658295
"22517","COR-80HP","Candado antipalanca 80 mm cuerpo de hierro, Hermex Basic",17506240639692,27506240639699
"43352","COR-80Q","Candado antipalanca, 80mm, blindado, llave puntos, Hermex",17501206672386,27501206672383
"43373","COR-80X","Candado antipalanca, 80mm, blindado, llave tetra, Hermex",17506240638565,27506240638562
"27088","COR-85ZP","Candado antipalanca 85 mm cuerpo metálico, Hermex Basic",17506240685460,27506240685467
"43358","COR-88","Candado antipalanca, 88mm, cuerpo de latón llave tradicional",17501206677466,27501206677463
"46120","COR-A","Contacto industrial reforzado aterrizado, 2 polos+tierra",17501206658632,27501206658639
"46121","COR-CH","Contacto industrial reforzado aterrizado cara de chino",17501206658526,27501206658523
"14306","COR-LS","Cordón para lentes de seguridad, ajustable, Truper",17501206628338,27501206628335
"46119","COR-S","Contacto industrial reforzado polarizado, Volteck",17501206658670,27501206658677
"19080","CORAL-4","Juego de 4 piezas, coples y conectores rápidos de latón",17501206619800,27501206619807
"27020","CORAL-4P","Juego de 2 conectores y 2 coples para compresor, Pretul",17501206681609,27501206681606
"19081","CORAL-5","Juego de 5 piezas, coples y conectores rápidos de latón",17501206619824,27501206619821
"27021","CORAL-5P","Juego de 4 conectores y 1 cople para compresor, Pretul",17501206681630,27501206681637
"18075","CORAL-6","Juego de 6 piezas, coples y conectores rápidos de latón",17506240608339,27506240608336
"27030","CORAL-6P","Juego de 4 conectores y 2 coples, compresor de aire, Pretul",17506240608346,27506240608343
"19082","CORAL-HEM-1/4","Conector rápido, tipo M, niquelado, cuerda 1/4 NPT, hembra",17501206619886,27501206619883
"27022","CORAL-HEM-1/4P","Conector rápido, tipo M, cuerda 1/4 NPT, hembra Pretul",17501206681647,27501206681644
"19083","CORAL-MA-1/4","Conector rápido, tipo M, niquelado, cuerda 1/4 NPT, macho",17501206619879,27501206619876
"27023","CORAL-MA-1/4P","Conector rápido, tipo M, cuerda 1/4 NPT, macho Pretul",17501206681654,27501206681651
"10037","CORG-20","Charola de 20' organizadora de usos múltiples, Truper",17506240610233,27506240610230
"49019","CORO-1","Válvula de compuerta de latón roscable de 1', Foset",17501206692544,27501206692541
"49021","CORO-1-1/2","Válvula de compuerta de latón roscable de 1 1/2', Foset",17501206692568,27501206692565
"49020","CORO-1-1/4","Válvula de compuerta de latón roscable de 1 1/4', Foset",17501206692551,27501206692558
"49017","CORO-1/2","Válvula de compuerta de latón roscable de 1/2', Foset",17501206692520,27501206692527
"49022","CORO-2","Válvula de compuerta de latón roscable de 2', Foset",17501206692575,27501206692572
"49018","CORO-3/4","Válvula de compuerta de latón roscable de 3/4', Foset",17501206692537,27501206692534
"21576","CORSOL-P","Equipo de corte y soldadura, Pretul",17506240636783,27506240636780
"19029","CORUM","Cople rápido de latón, cuerda 1/4 NPT, Truper",17501206602390,27501206602397
"27026","CORUM-P","Cople rápido, cuerda 1/4 NPT, Pretul",17501206681685,27501206681682
"12251","COS-26X","Cortasetos con motor a gasolina 26 cc, profesional, Truper",17506240636479,27506240636476
"101052","COSE-1","Brocasierra diamante 1' borde segmentado, Truper",17506240681257,27506240681254
"101056","COSE-1-1/2","Brocasierra diamante 1-1/2' borde segmentado, Truper",17506240681295,27506240681292
"101054","COSE-1-1/4","Brocasierra diamante 1-1/4' borde segmentado, Truper",17506240681271,27506240681278
"101053","COSE-1-1/8 ","Brocasierra diamante 1-1/8' borde segmentado, Truper",17506240681264,27506240681261
"101055","COSE-1-3/8","Brocasierra diamante 1-3/8' borde segmentado, Truper",17506240681288,27506240681285
"101057","COSE-2","Brocasierra diamante 2' borde segmentado, Truper",17506240681301,27506240681308
"101058","COSE-2-1/2  ","Brocasierra diamante 2-1/2' borde segmentado, Truper",17506240681318,27506240681315
"101050","COSE-3/4 ","Brocasierra diamante 3/4' borde segmentado, Truper",17506240681233,27506240681230
"101051","COSE-7/8","Brocasierra diamante 7/8' borde segmentado, Truper",17506240681240,27506240681247
"46110","COSE-CHS","Contacto sencillo, cara de chino,  Standard, marfil, Volteck",17501206656584,27501206656581
"47732","COSE-CHSB","Contacto sencillo, cara de chino, Standard, blanco, Volteck",17506240695346,27506240695343
"46101","COSE-MS","Contacto sencillo, 2 polos 3 hilos, 20 A, Standard, marfil",17501206656607,27501206656604
"47730","COSE-MSB","Contacto sencillo, 2 polos 3 hilos, 20 A, Standard, blanco",17506240695322,27506240695329
"46109","COSE-S","Contacto sencillo, 2 polos 3 hilos, Standard, marfil",17501206656577,27501206656574
"47731","COSE-SB","Contacto sencillo, 2 polos 3 hilos, Standard, blanco",17506240695339,27506240695336
"49025","COSO-1","Válvula de compuerta de latón soldable de 1', Foset",17501206692605,27501206692602
"49027","COSO-1-1/2","Válvula de compuerta de latón soldable de 1 1/2', Foset",17501206692629,27501206692626
"49026","COSO-1-1/4","Válvula de compuerta de latón soldable de 1 1/4', Foset",17501206692612,27501206692619
"49023","COSO-1/2","Válvula de compuerta de latón soldable de 1/2', Foset",17501206692582,27501206692589
"49028","COSO-2","Válvula de compuerta de latón soldable de 2', Foset",17501206692636,27501206692633
"49024","COSO-3/4","Válvula de compuerta de latón soldable de 3/4', Foset",17501206692599,27501206692596
"46106","COSO-D","Contacto de sobreponer dúplex sin tierra, Volteck",17501206658571,27501206658578
"46103","COSO-DA","Contacto de sobreponer dúplex, 2 polos+ tierra, baquelita",17501206658564,27501206658561
"47350","COSO-DA-2","Contacto de sobreponer dúplex 2 polos+ tierra, ABS, Volteck",17501206696788,27501206696785
"46115","COSO-DA-C","Contacto de sobreponer dúplex 2 polos+ tierra, café, Volteck",17506240649998,27506240649995
"47041","COSO-DAG","Contacto de sobreponer dúplex, 2 polos+tierra a granel",17506240646782,27506240646789
"46108","COSO-S","Contacto de sobreponer sencillo sin tierra, Volteck",17501206658588,27501206658585
"47351","COSO-T","Contacto de sobreponer triple sin tierra, Volteck",17501206696795,27501206696792
"12850","COT-16","Mini cortador de tubo de cobre 1/8' a 5/8' cuchilla 18 mm",17501206642358,27501206642355
"12853","COT-30","Cortador tubo de cobre 1/8' a 1-1/8' cuchilla 18 mm, Truper",17501206640903,27501206640900
"12851","COT-30E","Mini cortador de tubo de cobre 1/8' a 1-1/8' cuchilla 18 mm",17501206659325,27501206659322
"12795","COT-30X","Cortador tubo de cobre 1/8' a 1-1/8' cuchilla 20 mm, Expert",17506240622304,27506240622301
"12856","COT-32","Cortador tubo de cobre 1/8' a 1-1/4' cuchilla 18 mm, Truper",17501206640545,27501206640542
"12859","COT-50","Cortador tubo de cobre 3/16' a 2' cuchilla 18 mm, Truper",17501206642389,27501206642386
"20960","COT-P","Cortador de tubo de cobre, hasta 1-1/8'(30 mm), Pretul",17501206643294,27501206643291
"12857","COT-PPR","Cortador de tubo de plástico, capacidad corte 3/4', Truper",17506240635977,27506240635974
"12860","COT-PVC","Cortador de tubo de plástico, capacidad corte 1-5/8', Truper",17501206621919,27501206621916
"12867","COT-PVC-X","Cortador profesional tubo de plástico, corte 2-1/2', Expert",17501206693008,27501206693005
"45603","COUSB-EB","Placa armada 1contacto, 2puertos USB, 1.5mod,Española,blanco",17506240671234,27506240671231
"48064","COUSB-I","Contacto aterrizado + 2 puertos USB, marfil, línea Italiana",17506240613531,27506240613538
"48065","COUSB-IB","Contacto aterrizado + 2 puertos USB, blanco, línea Italiana",17506240613548,27506240613545
"49814","COUSB-IM  ","Contacto aterrizado + 2 puertos USB, madera, línea Italiana",17506240658686,27506240658683
"47590","COUSB-IN","Contacto aterrizado + 2 puertos USB, negro, línea Italiana",17506240680779,27506240680776
"49808","COUSB-IP  ","Contacto aterrizado + 2 puertos USB, plata, línea Italiana",17506240658655,27506240658652
"47851","COUSB-LA","Placa armada acero contacto y 2 puertos USB 1.5 mód, Lisboa",17502309731895,27502309731892
"47971","COUSB-LB","Placa armada blanca contacto y 2 puertos USB 1.5 mód, Lisboa",17502309731536,27502309731533
"47904","COUSB-LN","Placa armada negra contacto y 2 puertos USB 1.5 mód, Lisboa",17502309732250,27502309732257
"48313","COUSB-OB","Contacto 2polos + tierra con 2 puertos USB, Oslo, blanco",17506240626098,27506240626095
"12826","COVAR-1","Cortador de varilla, capacidad 1', Truper",17501206638610,27501206638617
"12813","COVAR-1/2","Cortador de varilla, capacidad 1/2', Truper",17501206638597,27501206638594
"20944","CP-12P","Cortapernos 12', Pretul",17501206689094,27501206689091
"12830","CP-12X","Cortapernos profesional de 12', Truper",17501206698645,27501206698642
"20945","CP-14P","Cortapernos 14', Pretul",17501206689100,27501206689107
"12831","CP-14X","Cortapernos profesional de 14', Truper",17501206698652,27501206698659
"20946","CP-18P","Cortapernos 18', Pretul",17501206689117,27501206689114
"12832","CP-18X","Cortapernos profesional de 18', Truper",17501206698669,27501206698666
"20947","CP-24P","Cortapernos 24', Pretul",17501206689124,27501206689121
"12833","CP-24X","Cortapernos profesional de 24', Truper",17501206698676,27501206698673
"20948","CP-30P","Cortapernos 30', Pretul",17501206689131,27501206689138
"12834","CP-30X","Cortapernos profesional de 30', Truper",17501206698683,27501206698680
"20949","CP-36P","Cortapernos 36', Pretul",17501206689148,27501206689145
"12835","CP-36X","Cortapernos profesional de 36', Truper",17501206698690,27501206698697
"14652","CP-5202-44","Cinturón de posicionamiento talla 44, Truper",17506240654503,27506240654500
"102417","CPB-180","Control automático de presión de bombas para agua, 180°",17506240617355,27506240617352
"102416","CPB-90","Control automático de presión de bombas para agua, 90°",17506240699993,27506240699990
"10539","CPE-16N","Caja para pesca de 16' con 3 bandejas deslizables, Truper",17506240617843,27506240617840
"45042","CPVC-001","Tubo de 1/2' de CPVC hidráulico RD 13.5 de 3 m, Foset",17506240646560,27506240646567
"45043","CPVC-002","Tubo de 3/4' de CPVC hidráulico RD 13.5 de 3 m, Foset",17506240646577,27506240646574
"45044","CPVC-003","Tubo de 1' de CPVC hidráulico RD 13.5 de 3 m, Foset",17506240646584,27506240646581
"45560","CPVC-004","Tubo de 1-1/4' de CPVC hidráulico RD 11 de 3 m, Foset",17506240656118,27506240656115
"45561","CPVC-005","Tubo de 1-1/2' de CPVC hidráulico RD 11 de 3 m, Foset",17506240656125,27506240656122
"45562","CPVC-006","Tubo de 2' de CPVC hidráulico RD 11 de 3 m, Foset",17506240656132,27506240656139
"45046","CPVC-052","Caja con 2 llaves de empotrar de CPVC para regadera, Foset",17506240628269,27506240628266
"45129","CPVC-221","Cople reducción de CPVC de 3/4 x 1/2', Foset",17506240627866,27506240627863
"45062","CPVC-231","Reducción bushing de CPVC, 3/4' x 1/2', Foset",17506240628160,27506240628167
"45063","CPVC-232","Reducción bushing de CPVC, 1' x 1/2', Foset",17506240628177,27506240628174
"45064","CPVC-233","Reducción bushing de CPVC, 1' X 3/4', Foset",17506240628184,27506240628181
"48938","CPVC-234","Reducción bushing CPVC 1-1/4' x 1/2', Foset",17506240662942,27506240662949
"48939","CPVC-235","Reducción bushing CPVC 1-1/4' x 3/4', Foset",17506240662935,27506240662932
"48940","CPVC-236","Reducción bushing CPVC 1-1/4' x 1', Foset",17506240662928,27506240662925
"48941","CPVC-237","Reducción bushing CPVC 1-1/2' x 1/2', Foset",17506240662911,27506240662918
"48942","CPVC-238","Reducción bushing CPVC 1-1/2' x 3/4', Foset",17506240662904,27506240662901
"48943","CPVC-239","Reducción bushing CPVC 1-1/2' x 1', Foset",17506240662898,27506240662895
"48944","CPVC-240","Reducción bushing CPVC 1-1/2' x 1-1/4', Foset",17506240662881,27506240662888
"48945","CPVC-241","Reducción bushing CPVC 1-1/2' x 2', Foset",17506240662874,27506240662871
"48946","CPVC-242","Reducción bushing CPVC 2' x 1-1/4', Foset",17506240662867,27506240662864
"45126","CPVC-261","Cople de CPVC de 1/2', Foset",17506240627835,27506240627832
"45127","CPVC-262","Cople de CPVC de 3/4', Foset",17506240627842,27506240627849
"45128","CPVC-263","Cople de CPVC de 1', Foset",17506240627859,27506240627856
"48932","CPVC-264","Cople de CPVC de 1-1/4', Foset",17506240663000,27506240663007
"48933","CPVC-265","Cople de CPVC de 1-1/2', Foset",17506240662997,27506240662994
"48934","CPVC-266","Cople de CPVC de 2', Foset",17506240662980,27506240662987
"48923","CPVC-271","Cople de compresión CPVC de 1/2', Foset",17506240663093,27506240663090
"48924","CPVC-272","Cople de compresión CPVC de 3/4', Foset",17506240663086,27506240663083
"48925","CPVC-273","Cople de compresión CPVC de 1', Foset",17506240663079,27506240663076
"45118","CPVC-361","Tapón de CPVC 1/2', Foset",17506240627873,27506240627870
"45119","CPVC-362","Tapón de CPVC 3/4', Foset",17506240627880,27506240627887
"45120","CPVC-363","Tapón de CPVC 1', Foset",17506240627897,27506240627894
"48947","CPVC-364","Tapon de CPVC 1-1/4', Foset",17506240662850,27506240662857
"48948","CPVC-365","Tapon de CPVC 1-1/2', Foset",17506240662843,27506240662840
"48949","CPVC-366","Tapon de CPVC 2', Foset",17506240662836,27506240662833
"48917","CPVC-401","Abrazadera tipo 'U' de CPVC de 1/2', Foset",17506240663154,27506240663151
"48918","CPVC-402","Abrazadera tipo 'U' de CPVC de 3/4', Foset",17506240663147,27506240663144
"48919","CPVC-403","Abrazadera tipo 'U' de CPVC de 1', Foset",17506240663130,27506240663137
"48961","CPVC-404","Abrazadera tipo 'U' de CPVC de 1-1/4', Foset",17506240662713,27506240662710
"48962","CPVC-405","Abrazadera tipo 'U' de CPVC de 1-1/2', Foset",17506240662706,27506240662703
"48963","CPVC-406","Abrazadera tipo 'U' de CPVC de 2', Foset",17506240662690,27506240662697
"48920","CPVC-411","Puente de CPVC 1/2', Foset",17506240663123,27506240663120
"48921","CPVC-412","Puente de CPVC 3/4', Foset",17506240663116,27506240663113
"48922","CPVC-413","Puente de CPVC 1', Foset",17506240663109,27506240663106
"48909","CPVC-501","Codo 90° de CPVC con inserto latón 1/2', Foset",17506240663239,27506240663236
"48910","CPVC-502","Codo 90° de CPVC con inserto latón 3/4', Foset",17506240663222,27506240663229
"45085","CPVC-521","Codo reducción 90° de CPVC de 3/4' x 1/2', Foset",17506240628054,27506240628051
"45082","CPVC-561","Codo 90° de CPVC de 1/2', Foset",17506240628023,27506240628020
"45083","CPVC-562","Codo 90° de CPVC de 3/4', Foset",17506240628030,27506240628037
"45084","CPVC-563","Codo 90° de CPVC de 1', Foset",17506240628047,27506240628044
"48926","CPVC-564","Codo 90° de CPVC de 1-1/4', Foset",17506240663062,27506240663069
"48927","CPVC-565","Codo 90° de CPVC de 1-1/2', Foset",17506240663055,27506240663052
"48928","CPVC-566","Codo 90° de CPVC de 2', Foset",17506240663048,27506240663045
"45081","CPVC-581","Codo de oreja 90° de CPVC de 1/2', Foset",17506240628061,27506240628068
"45101","CPVC-601","Conector hembra de CPVC 1/2', Foset",17506240627934,27506240627931
"45102","CPVC-602","Conector hembra de CPVC 3/4', Foset",17506240627941,27506240627948
"45103","CPVC-603","Conector hembra de CPVC 1', Foset",17506240627958,27506240627955
"48956","CPVC-604","Conector hembra CPVC 1-1/4', Foset",17506240662768,27506240662765
"48957","CPVC-605","Conector hembra CPVC 1-1/2', Foset",17506240662751,27506240662758
"48958","CPVC-606","Conector hembra CPVC 2', Foset",17506240662744,27506240662741
"45098","CPVC-611","Conector macho de CPVC 1/2', Foset",17506240627903,27506240627900
"45099","CPVC-612","Conector macho de CPVC 3/4', Foset",17506240627910,27506240627917
"45100","CPVC-613","Conector macho de CPVC 1', Foset",17506240627927,27506240627924
"48953","CPVC-614","Conector macho CPVC 1-1/4', Foset",17506240662799,27506240662796
"48954","CPVC-615","Conector macho CPVC 1-1/2', Foset",17506240662782,27506240662789
"48955","CPVC-616","Conector macho CPVC 2', Foset",17506240662775,27506240662772
"45107","CPVC-641","Adaptador hembra de CPVC 1/2' con inserto metálico, Foset",17506240627996,27506240627993
"45108","CPVC-642","Adaptador hembra de CPVC 3/4' con inserto metálico, Foset",17506240628009,27506240628006
"45109","CPVC-643","Adaptador hembra de CPVC 1' con inserto metálico, Foset",17506240628016,27506240628013
"48960","CPVC-644","Adaptador hembra de CPVC 1-1/4' con inserto metálico, Foset",17506240662720,27506240662727
"45104","CPVC-651","Adaptador macho de CPVC 1/2' con inserto metálico, Foset",17506240627965,27506240627962
"45105","CPVC-652","Adaptador macho de CPVC 3/4' con inserto metálico, Foset",17506240627972,27506240627979
"45106","CPVC-653","Adaptador macho de CPVC 1' con inserto metálico, Foset",17506240627989,27506240627986
"48959","CPVC-654","Adaptador macho de CPVC 1-1/4' con inserto metálico, Foset",17506240662737,27506240662734
"48914","CPVC-701","Tee rosca central hembra CPVC 1/2' inserto latón, Foset",17506240663185,27506240663182
"48915","CPVC-702","Tee reducida hembra de CPVC 3/4' x 3/4' x 1/2' inserto latón",17506240663178,27506240663175
"48916","CPVC-703","Tee reducida hembra de CPVC 1' x 1' x 1/2' inserto latón",17506240663161,27506240663168
"48911","CPVC-711","Tee rosca central macho CPVC 1/2' inserto latón, Foset",17506240663215,27506240663212
"48912","CPVC-712","Tee reducida macho de CPVC 3/4' x 3/4' x 1/2' inserto latón",17506240663208,27506240663205
"48913","CPVC-713","Tee reducida macho de CPVC 1' x 1' x 1/2' inserto latón",17506240663192,27506240663199
"45072","CPVC-722","Tee reducida central de CPVC 3/4' x 3/4' x 1/2', Foset",17506240628139,27506240628136
"45073","CPVC-723","Tee reducida lateral de CPVC 3/4' x 1/2' x 1/2' , Foset",17506240628146,27506240628143
"45074","CPVC-725","Tee reducida central de CPVC 1' x 1' x 1/2', Foset",17506240628153,27506240628150
"48908","CPVC-726","Tee reducida lateral de CPVC 3/4' x 1/2' x 3/4', Foset",17506240663246,27506240663243
"45069","CPVC-761","Tee sencilla de CPVC 1/2', Foset",17506240628108,27506240628105
"45070","CPVC-762","Tee sencilla de CPVC 3/4', Foset",17506240628115,27506240628112
"45071","CPVC-763","Tee sencilla de CPVC 1', Foset",17506240628122,27506240628129
"48935","CPVC-764","Tee sencilla de CPVC 1-1/4', Foset",17506240662973,27506240662970
"48936","CPVC-765","Tee sencilla de CPVC 1-1/2', Foset",17506240662966,27506240662963
"48937","CPVC-766","Tee sencilla de CPVC 2', Foset",17506240662959,27506240662956
"48904","CPVC-771","Mezclador tipo bigote de CPVC 1/2', Foset",17506240663284,27506240663281
"48905","CPVC-781","Cruz de CPVC 1/2', Foset",17506240663277,27506240663274
"48906","CPVC-782","Cruz de CPVC 3/4', Foset",17506240663260,27506240663267
"48907","CPVC-783","Cruz de CPVC 1', Foset",17506240663253,27506240663250
"45086","CPVC-861","Codo 45° de CPVC de 1/2', Foset",17506240628078,27506240628075
"45087","CPVC-862","Codo 45° de CPVC de 3/4', Foset",17506240628085,27506240628082
"45088","CPVC-863","Codo 45° de CPVC de 1', Foset",17506240628092,27506240628099
"48929","CPVC-864","Codo 45° CPVC de 1-1/4', Foset",17506240663031,27506240663038
"48930","CPVC-865","Codo 45° CPVC de 1-1/2', Foset",17506240663024,27506240663021
"48931","CPVC-866","Codo 45° CPVC de 2', Foset",17506240663017,27506240663014
"45055","CPVC-971","Tuerca unión lisa de CPVC 1/2', Foset",17506240628191,27506240628198
"45056","CPVC-972","Tuerca unión lisa de CPVC 3/4', Foset",17506240628207,27506240628204
"45057","CPVC-973","Tuerca unión lisa de CPVC 1', Foset",17506240628214,27506240628211
"48950","CPVC-974","Tuerca unión lisa de CPVC 1-1/4', Foset",17506240662829,27506240662826
"48951","CPVC-975","Tuerca unión lisa de CPVC 1-1/2', Foset",17506240662812,27506240662819
"48952","CPVC-976","Tuerca unión lisa de CPVC 2', Foset",17506240662805,27506240662802
"45045","CPVC-ANG","Llave angular de CPVC 1/2' x 1/2', Foset",17506240628252,27506240628259
"42019","CPVC-ANG02","Llave angular de CPVC 1/2' maneral volante, Foset",17506240658495,27506240658492
"49294","CPVC-CARCE","Bolsa con 2 cartuchos cerámicos p/llaves de empotrar de CPVC",17506240640230,27506240640237
"45049","CPVC-ES-1","Válvula de esfera de CPVC 1', Foset",17506240628245,27506240628242
"45047","CPVC-ES-1/2","Válvula de esfera de CPVC 1/2', Foset",17506240628221,27506240628228
"45048","CPVC-ES-3/4","Válvula de esfera de CPVC 3/4', Foset",17506240628238,27506240628235
"42017","CPVC-ESD-1","Válvula de esfera desmontable de CPVC 1', Foset",17506240658471,27506240658478
