key,code,ean,DUN-14 Inner,DUN-14 Master,unit,description,brand,buy,retailsale,wholesale,inventory,min_inventory,department
425-114,11690,7506240622451,17506240622458,27506240622455,Pieza,"Empaque de nitrilo para boquilla, FM-425, Truper",Truper,9,15,12.5,10,1,Fumigadores (refacciones)
425-116-C,11735,7506240622604,17506240622601,27506240622608,Pieza,"Palanca de bombeo completa para fumigadora FM-425, Truper",Truper,255,429,357,10,1,Fumigadores (refacciones)
425-141,11909,7506240622802,17506240622809,27506240622806,Pieza,"Tope plástico para palanca para fumigadora FM-425, Truper",Truper,39,65,54,10,1,Fumigadores (refacciones)
425-166-C,11834,7506240622727,17506240622724,27506240622721,Pieza,"Vástago de plástico completo para fumigadora FM-425, Truper",Truper,42,72,58,10,1,Fumigadores (refacciones)
425-204-C,11707,7506240640547,17506240640544,27506240640541,Set,"Juego de 13 empaques para fumigador FM-425, en bolsa, Truper",Truper,99,167,139,10,1,Fumigadores (refacciones)
425-211,11832,7506240622703,17506240622700,27506240622707,Pieza,"Tuerca plástica para boquilla para fumigadora FM-425, Truper",Truper,25,42,35,10,1,Fumigadores (refacciones)
425-262-C,11692,7506240622475,17506240622472,27506240622479,Pieza,"Boquilla de plástico, FM-425, Truper",Truper,48,82,67,10,1,Fumigadores (refacciones)
4C,12009,7501206620045,17501206620042,27501206620049,Pieza,"Cepillo para carpintero # 4 estriado, Truper",Truper,785,1135,945,10,1,Cepillos carpintero
4L,12006,7501206620038,17501206620035,27501206620032,Pieza,"Cepillo para carpintero # 4 liso, Truper",Truper,775,1125,925,10,1,Cepillos carpintero
5C,12015,7501206620069,17501206620066,27501206620063,Pieza,"Cepillo para carpintero # 5 estriado, Truper",Truper,815,1185,975,10,1,Cepillos carpintero
5L,12012,7501206620052,17501206620059,27501206620056,Pieza,"Cepillo para carpintero # 5 liso, Truper",Truper,795,1155,955,10,1,Cepillos carpintero
6C,12021,7501206620083,17501206620080,27501206620087,Pieza,"Cepillo para carpintero # 6 estriado, Truper",Truper,1145,1665,1375,10,1,Cepillos carpintero
6L,12018,7501206620076,17501206620073,27501206620070,Pieza,"Cepillo para carpintero # 6 liso, Truper",Truper,1125,1635,1345,10,1,Cepillos carpintero
A-31-30,16711,7501206689868,17501206689865,27501206689862,Pieza,"Aceite multiusos, 30ml (1oz), Truper",Truper,11,17.5,14.5,10,1,"Lubricantes, aceites y grasas"
A-31-90,16712,7501206689875,17501206689872,27501206689879,Pieza,"Aceite multiusos, 90ml (3oz), Truper",Truper,18,28,23,10,1,"Lubricantes, aceites y grasas"
A-5253,13420,7501206647523,17501206647520,27501206647527,Pieza,"Adaptador para matraca de cuadro 3/8' a cuadro 1/2', Truper",Truper,39,65,54,10,1,Matracas y accesorios
A-5254,13422,7501206647530,17501206647537,27501206647534,Pieza,"Adaptador para matraca de cuadro 1/2' a cuadro 3/8', Truper",Truper,49,83,68,10,1,Matracas y accesorios
A-5255,13423,7501206627891,17501206627898,27501206627895,Pieza,"Adaptador para matraca de cuadro 3/8' a cuadro 1/4', Truper",Truper,35,59,49,10,1,Matracas y accesorios
A-5256,13417,7501206627884,17501206627881,27501206627888,Pieza,"Adaptador para matraca de cuadro 1/4' a cuadro 3/8', Truper",Truper,33,55,46,10,1,Matracas y accesorios
A-5453,13424,7501206647547,17501206647544,27501206647541,Pieza,"Adaptador para matraca de cuadro 3/4' a cuadro 1/2', Truper",Truper,105,177,147,10,1,Matracas y accesorios
A-5653,13426,7501206647554,17501206647551,27501206647558,Pieza,"Adaptador para matraca de cuadro 1/2' a cuadro 3/4', Truper",Truper,89,149,125,10,1,Matracas y accesorios
A-800,49255,7501206697450,17501206697457,27501206697454,Juego,"Juego de 5 accesorios para baño de acero inoxidable, Basic",Foset,225,325,269,10,1,Accesorios para baño
A-900,49607,7506240617259,17506240617256,27506240617253,Juego,"Juego de 5 accesorios para baño metálicos, Foset Basic",Foset,395,575,475,10,1,Accesorios para baño
A-905,49608,7506240617235,17506240617232,27506240617239,Pieza,"Toallero metálico de barra, Foset Basic",Foset,145,209,175,10,1,Accesorios para baño
A-906,49609,7506240617242,17506240617249,27506240617246,Pieza,"Gancho doble metálico para toallas, Foset Basic",Foset,58,84,69,10,1,Accesorios para baño
A-907,49610,7506240617211,17506240617218,27506240617215,Pieza,"Portavaso cepillero metálico, Foset Basic",Foset,68,99,82,10,1,Accesorios para baño
A-908,49611,7506240617204,17506240617201,27506240617208,Pieza,"Jabonera metálica, Foset Basic",Foset,72,105,86,10,1,Accesorios para baño
A-917,49612,7506240617228,17506240617225,27506240617222,Pieza,"Portarrollo metálico con barra de ABS, Foset Basic",Foset,95,137,115,10,1,Accesorios para baño
A2C,100752,7506240678182,17506240678189,27506240678186,Pieza,"Azadón dos cuernos con mango de madera 54', Truper",Truper,115,179,149,10,1,Azadones de zanco
AAWC-40B,49367,7506240680963,17506240680960,27506240680967,Pieza,"Asiento redondo acojinado para WC, cerrado, blanco, Foset",Foset,165,239,199,10,1,Asientos para WC
AB-03,44255,7506240645450,17506240645457,27506240645454,Bolsa,"Bolsa con 10 abrazaderas mini, reforzadas #3, 1/4' - 5/8'",Fiero,35,55,45,10,1,Abrazaderas
AB-04,44230,7501206693926,17501206693923,27501206693920,Bolsa,"Bolsa con 10 abrazaderas mini, reforzadas # 4, 3/8 - 5/8'",Fiero,35,55,45,10,1,Abrazaderas
AB-06,44231,7501206693933,17501206693930,27501206693937,Bolsa,"Bolsa con 10 abrazaderas mini, reforzadas # 6, 1/2 - 3/4'",Fiero,35,55,45,10,1,Abrazaderas
AB-07,44256,7506240645467,17506240645464,27506240645461,Bolsa,"Bolsa con 10 abrazaderas mini, reforzadas #7, 1/2 - 7/8'",Fiero,35,55,45,10,1,Abrazaderas
AB-10,44235,7501206693971,17501206693978,27501206693975,Bolsa,"Bolsa con 10 abrazaderas reforzadas # 10, 3/4 - 1-1/16'",Fiero,65,102,84,10,1,Abrazaderas
AB-104,44254,7501206694169,17501206694166,27501206694163,Bolsa,"Bolsa con 5 abrazaderas reforzadas # 104, 6-1/8 - 7', Fiero",Fiero,95,149,125,10,1,Abrazaderas
AB-12,44236,7501206693988,17501206693985,27501206693982,Bolsa,"Bolsa con 10 abrazaderas reforzadas # 12, 5/8 - 1-1/4'",Fiero,65,102,84,10,1,Abrazaderas
AB-16,44237,7501206693995,17501206693992,27501206693999,Bolsa,"Bolsa con 10 abrazaderas reforzadas # 16, 3/4 - 1-1/2'",Fiero,75,117,97,10,1,Abrazaderas
AB-20,44238,7501206694008,17501206694005,27501206694002,Bolsa,"Bolsa con 10 abrazaderas reforzadas # 20, 3/4 - 1-3/4'",Fiero,75,117,97,10,1,Abrazaderas
AB-24,44239,7501206694015,17501206694012,27501206694019,Bolsa,"Bolsa con 10 abrazaderas reforzadas # 24, 1-1/4 - 2', Fiero",Fiero,85,135,109,10,1,Abrazaderas
AB-28,44240,7501206694022,17501206694029,27501206694026,Bolsa,"Bolsa con 10 abrazaderas reforzadas # 28, 1-1/2 - 2-1/4'",Fiero,85,135,109,10,1,Abrazaderas
AB-32,44241,7501206694039,17501206694036,27501206694033,Bolsa,"Bolsa con 5 abrazaderas reforzadas # 32, 1-9/16 - 2-1/2'",Fiero,45,69,58,10,1,Abrazaderas
AB-36,44242,7501206694046,17501206694043,27501206694040,Bolsa,"Bolsa con 5 abrazaderas reforzadas # 36, 1-13/16 - 2-3/4'",Fiero,47,73,62,10,1,Abrazaderas
AB-4,44232,7501206693940,17501206693947,27501206693944,Bolsa,"Bolsa con 10 abrazaderas reforzadas # 4, 3/8 - 5/8', Fiero",Fiero,59,92,76,10,1,Abrazaderas
AB-40,44243,7501206694053,17501206694050,27501206694057,Bolsa,"Bolsa con 5 abrazaderas reforzadas # 40, 2-1/4 - 3', Fiero",Fiero,59,92,76,10,1,Abrazaderas
AB-44,44244,7501206694060,17501206694067,27501206694064,Bolsa,"Bolsa con 5 abrazaderas reforzadas # 44, 2-5/8 - 3-1/4'",Fiero,59,92,76,10,1,Abrazaderas
AB-48,44245,7501206694077,17501206694074,27501206694071,Bolsa,"Bolsa con 5 abrazaderas reforzadas # 48, 2-9/16 - 3-1/2'",Fiero,59,92,76,10,1,Abrazaderas
AB-52,44246,7501206694084,17501206694081,27501206694088,Bolsa,"Bolsa con 5 abrazaderas reforzadas # 52, 3-13/16 - 3-3/4'",Fiero,65,102,84,10,1,Abrazaderas
AB-56,44247,7501206694091,17501206694098,27501206694095,Bolsa,"Bolsa con 5 abrazaderas reforzadas # 56, 3-1/16 - 4', Fiero",Fiero,65,102,84,10,1,Abrazaderas
