key,code,ean,DUN-14 Inner,DUN-14 Master,unit,description,brand,buy,retailsale,wholesale,inventory,min_inventory,department
CPVC-401,48917,7506240663157,17506240663154,27506240663151,Pieza,"Abrazadera tipo 'U' de CPVC de 1/2', Foset",Foset,1,1.6,1.3,10,1,Conexiones CPVC
CPVC-402,48918,7506240663140,17506240663147,27506240663144,Pieza,"Abrazadera tipo 'U' de CPVC de 3/4', Foset",Foset,1.5,2.4,2,10,1,Conexiones CPVC
CPVC-403,48919,7506240663133,17506240663130,27506240663137,Pieza,"Abrazadera tipo 'U' de CPVC de 1', Foset",Foset,1.5,2.4,2,10,1,Conexiones CPVC
CPVC-404,48961,7506240662716,17506240662713,27506240662710,Pieza,"Abrazadera tipo 'U' de CPVC de 1-1/4', Foset",Foset,3,4.7,3.9,10,1,Conexiones CPVC
CPVC-405,48962,7506240662709,17506240662706,27506240662703,Pieza,"Abrazadera tipo 'U' de CPVC de 1-1/2', Foset",Foset,4,6.2,5.2,10,1,Conexiones CPVC
CPVC-406,48963,7506240662693,17506240662690,27506240662697,Pieza,"Abrazadera tipo 'U' de CPVC de 2', Foset",Foset,5,8,6.5,10,1,Conexiones CPVC
CPVC-411,48920,7506240663126,17506240663123,27506240663120,Pieza,"Puente de CPVC 1/2', Foset",Foset,8,12.5,10.5,10,1,Conexiones CPVC
CPVC-412,48921,7506240663119,17506240663116,27506240663113,Pieza,"Puente de CPVC 3/4', Foset",Foset,20,32,26,10,1,Conexiones CPVC
CPVC-413,48922,7506240663102,17506240663109,27506240663106,Pieza,"Puente de CPVC 1', Foset",Foset,29,46,38,10,1,Conexiones CPVC
CPVC-501,48909,7506240663232,17506240663239,27506240663236,Pieza,"Codo 90° de CPVC con inserto latón 1/2', Foset",Foset,25,39,33,10,1,Conexiones CPVC
CPVC-502,48910,7506240663225,17506240663222,27506240663229,Pieza,"Codo 90° de CPVC con inserto latón 3/4', Foset",Foset,32,49,42,10,1,Conexiones CPVC
CPVC-521,45085,7506240628057,17506240628054,27506240628051,Pieza,"Codo reducción 90° de CPVC de 3/4' x 1/2', Foset",Foset,4,6.2,5.2,10,1,Conexiones CPVC
CPVC-561,45082,7506240628026,17506240628023,27506240628020,Pieza,"Codo 90° de CPVC de 1/2', Foset",Foset,1.5,2.4,2,10,1,Conexiones CPVC
CPVC-562,45083,7506240628033,17506240628030,27506240628037,Pieza,"Codo 90° de CPVC de 3/4', Foset",Foset,3.5,5.5,4.5,10,1,Conexiones CPVC
CPVC-563,45084,7506240628040,17506240628047,27506240628044,Pieza,"Codo 90° de CPVC de 1', Foset",Foset,7,11,9,10,1,Conexiones CPVC
CPVC-564,48926,7506240663065,17506240663062,27506240663069,Pieza,"Codo 90° de CPVC de 1-1/4', Foset",Foset,14,22,18,10,1,Conexiones CPVC
CPVC-565,48927,7506240663058,17506240663055,27506240663052,Pieza,"Codo 90° de CPVC de 1-1/2', Foset",Foset,22,35,29,10,1,Conexiones CPVC
CPVC-566,48928,7506240663041,17506240663048,27506240663045,Pieza,"Codo 90° de CPVC de 2', Foset",Foset,49,77,63,10,1,Conexiones CPVC
CPVC-581,45081,7506240628064,17506240628061,27506240628068,Pieza,"Codo de oreja 90° de CPVC de 1/2', Foset",Foset,9,14,11.5,10,1,Conexiones CPVC
CPVC-601,45101,7506240627937,17506240627934,27506240627931,Pieza,"Conector hembra de CPVC 1/2', Foset",Foset,3,4.7,3.9,10,1,Conexiones CPVC
CPVC-602,45102,7506240627944,17506240627941,27506240627948,Pieza,"Conector hembra de CPVC 3/4', Foset",Foset,4,6.2,5.2,10,1,Conexiones CPVC
CPVC-603,45103,7506240627951,17506240627958,27506240627955,Pieza,"Conector hembra de CPVC 1', Foset",Foset,7,11,9,10,1,Conexiones CPVC
CPVC-604,48956,7506240662761,17506240662768,27506240662765,Pieza,"Conector hembra CPVC 1-1/4', Foset",Foset,14,22,18,10,1,Conexiones CPVC
CPVC-605,48957,7506240662754,17506240662751,27506240662758,Pieza,"Conector hembra CPVC 1-1/2', Foset",Foset,19,29,25,10,1,Conexiones CPVC
CPVC-606,48958,7506240662747,17506240662744,27506240662741,Pieza,"Conector hembra CPVC 2', Foset",Foset,40,64,52,10,1,Conexiones CPVC
CPVC-611,45098,7506240627906,17506240627903,27506240627900,Pieza,"Conector macho de CPVC 1/2', Foset",Foset,2,3.2,2.6,10,1,Conexiones CPVC
CPVC-612,45099,7506240627913,17506240627910,27506240627917,Pieza,"Conector macho de CPVC 3/4', Foset",Foset,3,4.7,3.9,10,1,Conexiones CPVC
CPVC-613,45100,7506240627920,17506240627927,27506240627924,Pieza,"Conector macho de CPVC 1', Foset",Foset,6,9.5,8,10,1,Conexiones CPVC
CPVC-614,48953,7506240662792,17506240662799,27506240662796,Pieza,"Conector macho CPVC 1-1/4', Foset",Foset,11,17.5,14.5,10,1,Conexiones CPVC
CPVC-615,48954,7506240662785,17506240662782,27506240662789,Pieza,"Conector macho CPVC 1-1/2', Foset",Foset,15,24,19,10,1,Conexiones CPVC
CPVC-616,48955,7506240662778,17506240662775,27506240662772,Pieza,"Conector macho CPVC 2', Foset",Foset,30,47,39,10,1,Conexiones CPVC
CPVC-641,45107,7506240627999,17506240627996,27506240627993,Pieza,"Adaptador hembra de CPVC 1/2' con inserto metálico, Foset",Foset,32,49,42,10,1,Conexiones CPVC
CPVC-642,45108,7506240628002,17506240628009,27506240628006,Pieza,"Adaptador hembra de CPVC 3/4' con inserto metálico, Foset",Foset,45,69,58,10,1,Conexiones CPVC
CPVC-643,45109,7506240628019,17506240628016,27506240628013,Pieza,"Adaptador hembra de CPVC 1' con inserto metálico, Foset",Foset,110,175,145,10,1,Conexiones CPVC
CPVC-644,48960,7506240662723,17506240662720,27506240662727,Pieza,"Adaptador hembra de CPVC 1-1/4' con inserto metálico, Foset",Foset,195,305,255,10,1,Conexiones CPVC
CPVC-651,45104,7506240627968,17506240627965,27506240627962,Pieza,"Adaptador macho de CPVC 1/2' con inserto metálico, Foset",Foset,32,49,42,10,1,Conexiones CPVC
CPVC-652,45105,7506240627975,17506240627972,27506240627979,Pieza,"Adaptador macho de CPVC 3/4' con inserto metálico, Foset",Foset,45,69,58,10,1,Conexiones CPVC
CPVC-653,45106,7506240627982,17506240627989,27506240627986,Pieza,"Adaptador macho de CPVC 1' con inserto metálico, Foset",Foset,85,135,109,10,1,Conexiones CPVC
CPVC-654,48959,7506240662730,17506240662737,27506240662734,Pieza,"Adaptador macho de CPVC 1-1/4' con inserto metálico, Foset",Foset,165,259,215,10,1,Conexiones CPVC
CPVC-701,48914,7506240663188,17506240663185,27506240663182,Pieza,"Tee rosca central hembra CPVC 1/2' inserto latón, Foset",Foset,29,46,38,10,1,Conexiones CPVC
CPVC-702,48915,7506240663171,17506240663178,27506240663175,Pieza,Tee reducida hembra de CPVC 3/4' x 3/4' x 1/2' inserto latón,Foset,39,62,49,10,1,Conexiones CPVC
CPVC-703,48916,7506240663164,17506240663161,27506240663168,Pieza,Tee reducida hembra de CPVC 1' x 1' x 1/2' inserto latón,Foset,42,66,54,10,1,Conexiones CPVC
CPVC-711,48911,7506240663218,17506240663215,27506240663212,Pieza,"Tee rosca central macho CPVC 1/2' inserto latón, Foset",Foset,39,62,49,10,1,Conexiones CPVC
CPVC-712,48912,7506240663201,17506240663208,27506240663205,Pieza,Tee reducida macho de CPVC 3/4' x 3/4' x 1/2' inserto latón,Foset,47,73,62,10,1,Conexiones CPVC
CPVC-713,48913,7506240663195,17506240663192,27506240663199,Pieza,Tee reducida macho de CPVC 1' x 1' x 1/2' inserto latón,Foset,55,86,72,10,1,Conexiones CPVC
CPVC-722,45072,7506240628132,17506240628139,27506240628136,Pieza,"Tee reducida central de CPVC 3/4' x 3/4' x 1/2', Foset",Foset,6,9.5,8,10,1,Conexiones CPVC
CPVC-723,45073,7506240628149,17506240628146,27506240628143,Pieza,"Tee reducida lateral de CPVC 3/4' x 1/2' x 1/2' , Foset",Foset,6,9.5,8,10,1,Conexiones CPVC
CPVC-725,45074,7506240628156,17506240628153,27506240628150,Pieza,"Tee reducida central de CPVC 1' x 1' x 1/2', Foset",Foset,10,15.5,13,10,1,Conexiones CPVC
CPVC-726,48908,7506240663249,17506240663246,27506240663243,Pieza,"Tee reducida lateral de CPVC 3/4' x 1/2' x 3/4', Foset",Foset,8,12.5,10.5,10,1,Conexiones CPVC
CPVC-761,45069,7506240628101,17506240628108,27506240628105,Pieza,"Tee sencilla de CPVC 1/2', Foset",Foset,2.5,4,3.3,10,1,Conexiones CPVC
CPVC-762,45070,7506240628118,17506240628115,27506240628112,Pieza,"Tee sencilla de CPVC 3/4', Foset",Foset,5,8,6.5,10,1,Conexiones CPVC
CPVC-763,45071,7506240628125,17506240628122,27506240628129,Pieza,"Tee sencilla de CPVC 1', Foset",Foset,10,15.5,13,10,1,Conexiones CPVC
CPVC-764,48935,7506240662976,17506240662973,27506240662970,Pieza,"Tee sencilla de CPVC 1-1/4', Foset",Foset,22,35,29,10,1,Conexiones CPVC
CPVC-765,48936,7506240662969,17506240662966,27506240662963,Pieza,"Tee sencilla de CPVC 1-1/2', Foset",Foset,35,55,45,10,1,Conexiones CPVC
CPVC-766,48937,7506240662952,17506240662959,27506240662956,Pieza,"Tee sencilla de CPVC 2', Foset",Foset,75,115,95,10,1,Conexiones CPVC
CPVC-771,48904,7506240663287,17506240663284,27506240663281,Pieza,"Mezclador tipo bigote de CPVC 1/2', Foset",Foset,20,32,26,10,1,Conexiones CPVC
CPVC-781,48905,7506240663270,17506240663277,27506240663274,Pieza,"Cruz de CPVC 1/2', Foset",Foset,7,11,9,10,1,Conexiones CPVC
CPVC-782,48906,7506240663263,17506240663260,27506240663267,Pieza,"Cruz de CPVC 3/4', Foset",Foset,11,17.5,14.5,10,1,Conexiones CPVC
CPVC-783,48907,7506240663256,17506240663253,27506240663250,Pieza,"Cruz de CPVC 1', Foset",Foset,20,32,26,10,1,Conexiones CPVC
CPVC-861,45086,7506240628071,17506240628078,27506240628075,Pieza,"Codo 45° de CPVC de 1/2', Foset",Foset,2,3.2,2.6,10,1,Conexiones CPVC
CPVC-862,45087,7506240628088,17506240628085,27506240628082,Pieza,"Codo 45° de CPVC de 3/4', Foset",Foset,3,4.7,3.9,10,1,Conexiones CPVC
CPVC-863,45088,7506240628095,17506240628092,27506240628099,Pieza,"Codo 45° de CPVC de 1', Foset",Foset,6,9.5,8,10,1,Conexiones CPVC
CPVC-864,48929,7506240663034,17506240663031,27506240663038,Pieza,"Codo 45° CPVC de 1-1/4', Foset",Foset,15,24,19,10,1,Conexiones CPVC
CPVC-865,48930,7506240663027,17506240663024,27506240663021,Pieza,"Codo 45° CPVC de 1-1/2', Foset",Foset,25,39,33,10,1,Conexiones CPVC
CPVC-866,48931,7506240663010,17506240663017,27506240663014,Pieza,"Codo 45° CPVC de 2', Foset",Foset,55,86,72,10,1,Conexiones CPVC
CPVC-971,45055,7506240628194,17506240628191,27506240628198,Pieza,"Tuerca unión lisa de CPVC 1/2', Foset",Foset,10,15.5,13,10,1,Conexiones CPVC
CPVC-972,45056,7506240628200,17506240628207,27506240628204,Pieza,"Tuerca unión lisa de CPVC 3/4', Foset",Foset,15,24,19,10,1,Conexiones CPVC
CPVC-973,45057,7506240628217,17506240628214,27506240628211,Pieza,"Tuerca unión lisa de CPVC 1', Foset",Foset,25,39,33,10,1,Conexiones CPVC
CPVC-974,48950,7506240662822,17506240662829,27506240662826,Pieza,"Tuerca unión lisa de CPVC 1-1/4', Foset",Foset,38,59,49,10,1,Conexiones CPVC
CPVC-975,48951,7506240662815,17506240662812,27506240662819,Pieza,"Tuerca unión lisa de CPVC 1-1/2', Foset",Foset,59,92,76,10,1,Conexiones CPVC
CPVC-976,48952,7506240662808,17506240662805,27506240662802,Pieza,"Tuerca unión lisa de CPVC 2', Foset",Foset,105,165,135,10,1,Conexiones CPVC
CPVC-ANG,45045,7506240628255,17506240628252,27506240628259,Pieza,"Llave angular de CPVC 1/2' x 1/2', Foset",Foset,25,39,33,10,1,Conexiones CPVC
CPVC-ANG02,42019,7506240658498,17506240658495,27506240658492,Pieza,"Llave angular de CPVC 1/2' maneral volante, Foset",Foset,28,44,36,10,1,Válvulas de CPVC
CPVC-CARCE,49294,7506240640233,17506240640230,27506240640237,Par,Bolsa con 2 cartuchos cerámicos p/llaves de empotrar de CPVC,Foset,59,92,76,10,1,Grifería
CPVC-ES-1,45049,7506240628248,17506240628245,27506240628242,Pieza,"Válvula de esfera de CPVC 1', Foset",Foset,65,102,84,10,1,Válvulas de CPVC
CPVC-ES-1/2,45047,7506240628224,17506240628221,27506240628228,Pieza,"Válvula de esfera de CPVC 1/2', Foset",Foset,25,39,33,10,1,Válvulas de CPVC
CPVC-ES-3/4,45048,7506240628231,17506240628238,27506240628235,Pieza,"Válvula de esfera de CPVC 3/4', Foset",Foset,39,62,49,10,1,Válvulas de CPVC
CPVC-ESD-1,42017,7506240658474,17506240658471,27506240658478,Pieza,"Válvula de esfera desmontable de CPVC 1', Foset",Foset,75,117,97,10,1,Válvulas de CPVC
CPVC-ESD-1/2,42015,7506240658450,17506240658457,27506240658454,Pieza,"Válvula de esfera desmontable de CPVC 1/2', Foset",Foset,24,38,32,10,1,Válvulas de CPVC
CPVC-ESD-3/4,42016,7506240658467,17506240658464,27506240658461,Pieza,"Válvula de esfera desmontable de CPVC 3/4', Foset",Foset,49,77,63,10,1,Válvulas de CPVC
CPVC-GL-1/2,42018,7506240658481,17506240658488,27506240658485,Pieza,"Válvula globo de CPVC 1/2' maneral volante, Foset",Foset,28,44,36,10,1,Válvulas de CPVC
CPVC-KIT,46033,7506240646860,17506240646867,27506240646864,Set,KIT de conexiones y válvulas CPVC para instalación regadera,Foset,365,529,439,10,1,Conexiones CPVC
CPVC-KIT-B,46034,7506240651895,17506240651892,27506240651899,Set,"KIT conexiones CPVC para instalación regadera, sin manerales",Foset,225,325,269,10,1,Conexiones CPVC
CR-050,49377,7501206666876,17501206666873,27501206666870,Pieza,"Cuello curvo repuesto para mezcladora de lavabo, Basic",Foset,59,92,76,10,1,Grifería
CR-070,45713,7506240693475,17506240693472,27506240693479,Pieza,"Cuello largo repuesto para mezcladora de lavabo, Basic",Foset,75,117,97,10,1,Grifería
CR-317,49375,7501206665770,17501206665777,27501206665774,Pieza,"Cuello de repuesto corto para fregadero (f-317), Basic",Foset,85,135,109,10,1,Grifería
CR-318,49376,7501206665787,17501206665784,27501206665781,Pieza,"Cuello de repuesto standard para fregadero (f-318), Basic",Foset,75,117,97,10,1,Grifería
CR-319,49193,7506240612681,17506240612688,27506240612685,Pieza,"Cuello cobra repuesto para mezcladora de fregadero, Basic",Foset,165,259,215,10,1,Grifería
CR-320,48195,7506240683797,17506240683794,27506240683791,Pieza,"Repuesto de cuello alto para mezcladora de ABS, Foset",Foset,55,86,72,10,1,Grifería
CR-321,45718,7506240694762,17506240694769,27506240694766,Pieza,"Cuello de repuesto para mezcladora de fregadero, Basic",Foset,135,215,175,10,1,Grifería
CR-MP-048,49379,7506240606031,17506240606038,27506240606035,Pieza,"Cuello nariz corta repuesto para mezcladora de lavabo, Basic",Foset,30,47,39,10,1,Grifería
CRA-11R,101687,7506240691969,17506240691966,27506240691963,Par,"Blíster con 2 crayones de 12 cm industriales rojos, Truper",Truper,16,27,22,10,1,Lápices y crayones
CRB-060,49285,7501206687543,17501206687540,27501206687547,Pieza,"Cuello tipo bar repuesto para mezcladora de lavabo, Basic",Foset,59,92,76,10,1,Grifería
CRED-40,56032,7506240692188,17506240692185,27506240692182,Pieza,"Crema limpiadora y desengrasante para manos, 1 gal, Klintek",Klintek,345,499,415,10,1,Artículos de limpieza
CREM-2X58C,18344,7506240635598,17506240635595,27506240635592,Pieza,"Correa para remolque con ganchos 2' x 5.8 m, Truper",Truper,275,435,355,10,1,"Eslingas, correas y cuerdas para remolque"
CREM-5/8X35,18345,7506240635604,17506240635601,27506240635608,Pieza,"Cuerda para remolque con ganchos 5/8' x 3.5 m, Truper",Truper,145,229,189,10,1,"Eslingas, correas y cuerdas para remolque"
CREM-50,56031,7506240692171,17506240692178,27506240692175,Pieza,"Crema lustradora para muebles, 500 ml, Klintek",Klintek,75,109,89,10,1,Artículos de limpieza
CREM-7/8X45,18346,7506240635611,17506240635618,27506240635615,Pieza,"Cuerda para remolque con ganchos 7/8' x 4.5 m, Truper",Truper,195,305,255,10,1,"Eslingas, correas y cuerdas para remolque"
CRI-C-10,14274,7501206688779,17501206688776,27501206688773,Pieza,Lente sombra 10 para caretas abatibles Truper y Pretul,Truper,12,20,17,10,1,"Caretas, gafas y protectores de carnaza"
CRI-C-11,14275,7501206688786,17501206688783,27501206688780,Pieza,Lente sombra 11 para caretas abatibles Truper y Pretul,Truper,12,20,17,10,1,"Caretas, gafas y protectores de carnaza"
CRI-C-12,14276,7501206688793,17501206688790,27501206688797,Pieza,Lente sombra 12 para caretas abatibles Truper y Pretul,Truper,12,20,17,10,1,"Caretas, gafas y protectores de carnaza"
CRI-C-14,14277,7501206688809,17501206688806,27501206688803,Pieza,Lente sombra 14 para caretas abatibles Truper y Pretul,Truper,12,20,17,10,1,"Caretas, gafas y protectores de carnaza"
CRI-C-TR,14278,7501206600818,17501206600815,27501206600812,Pieza,Lente transparente para caretas abatibles Truper y Pretul,Truper,12,20,17,10,1,"Caretas, gafas y protectores de carnaza"
CRI-G-6,14279,7501206688823,17501206688820,27501206688827,Pieza,"Lentes de repuesto sombra 6 para GASO, Truper",Truper,15,25,21,10,1,"Caretas, gafas y protectores de carnaza"
CRI-GTR,14280,7501206688830,17501206688837,27501206688834,Pieza,"Lentes de repuesto transparentes para GASO, Truper",Truper,15,25,21,10,1,"Caretas, gafas y protectores de carnaza"
CRP-3HX,11252,7506240664857,17506240664854,27506240664851,Pieza,"Marro para herrería 3 lb mango 12', Truper",Truper,155,225,185,10,1,Marros nacionales
CRP-4HX,11253,7506240664864,17506240664861,27506240664868,Pieza,"Marro para herrería 4 lb mango 12', Truper",Truper,195,285,235,10,1,Marros nacionales
CRU-3X5,40141,7506240681106,17506240681103,27506240681100,Pieza,"Caja de contactos para canaleta 3' x 5', blanca, Volteck",Volteck,17,27,22,10,1,Canaletas
CRUCE-30,12648,7501206689349,17501206689346,27501206689343,Pieza,"Cinta larga 30 m metálica, tipo cruceta, Truper",Truper,355,559,465,10,1,Cintas largas
CRUCE-50,12649,7501206689356,17501206689353,27501206689350,Pieza,"Cinta larga 50 m metálica, tipo cruceta, Truper",Truper,455,715,595,10,1,Cintas largas
CS-60D,43492,7501206676776,17501206676773,27501206676770,Pieza,"Cerradura sobreponer, puerta corrediza, mariposa, derecha",Hermex,385,559,465,10,1,Cerraduras de sobreponer
CS-60I,43494,7501206676790,17501206676797,27501206676794,Pieza,"Cerradura sobreponer, puerta corrediza, mariposa, izquierda",Hermex,385,559,465,10,1,Cerraduras de sobreponer
CS-65D,43493,7501206676783,17501206676780,27501206676787,Pieza,"Cerradura sobreponer, puerta corrediza, clásica, derecha",Hermex,425,615,509,10,1,Cerraduras de sobreponer
CS-65I,43495,7501206676806,17501206676803,27501206676800,Pieza,"Cerradura sobreponer, puerta corrediza, clásica, izquierda",Hermex,425,615,509,10,1,Cerraduras de sobreponer
CS-70D,43574,7501206677131,17501206677138,27501206677135,Pieza,"Cerradura sobreponer der clásica, llave tradicional, caja",Hermex,149,215,179,10,1,Cerraduras de sobreponer
CS-70DB,43583,7501206677179,17501206677176,27501206677173,Pieza,"Cerradura sobreponer der clásica, llave tradicional, blíster",Hermex,159,229,189,10,1,Cerraduras de sobreponer
CS-70I,43573,7501206677124,17501206677121,27501206677128,Pieza,"Cerradura sobreponer izq clásica, llave tradicional, caja",Hermex,149,215,179,10,1,Cerraduras de sobreponer
CS-70IB,43582,7501206677162,17501206677169,27501206677166,Pieza,"Cerradura sobreponer izq clásica, llave tradicional, blíster",Hermex,159,229,189,10,1,Cerraduras de sobreponer
CS-75D,43576,7501206677155,17501206677152,27501206677159,Pieza,"Cerradura sobreponer der instala-fácil, tradicional, caja",Hermex,149,215,179,10,1,Cerraduras de sobreponer
CS-75DB,43585,7501206677193,17501206677190,27501206677197,Pieza,"Cerradura sobreponer der instala-fácil, tradicional, blíster",Hermex,159,229,189,10,1,Cerraduras de sobreponer
CS-75DBP,27049,7506240675907,17506240675904,27506240675901,Pieza,"Cerradura sobreponer der instala-fácil, blíster, Basic",Hermex,139,199,165,10,1,Cerraduras de sobreponer
CS-75DC,43588,7506240643111,17506240643118,27506240643115,Pieza,"Cerradura sobreponer der instala-fácil, cromada, tradicional",Hermex,159,229,189,10,1,Cerraduras de sobreponer
CS-75DP,27047,7506240675884,17506240675881,27506240675888,Pieza,"Cerradura sobreponer der instala-fácil, caja, Hermex Basic",Hermex,129,187,155,10,1,Cerraduras de sobreponer
CS-75I,43575,7501206677148,17501206677145,27501206677142,Pieza,"Cerradura sobreponer izq instala-fácil, tradicional, caja",Hermex,149,215,179,10,1,Cerraduras de sobreponer
CS-75IB,43584,7501206677186,17501206677183,27501206677180,Pieza,"Cerradura sobreponer izq instala-fácil, tradicional, blíster",Hermex,159,229,189,10,1,Cerraduras de sobreponer
CS-75IBP,27048,7506240675891,17506240675898,27506240675895,Pieza,"Cerradura sobreponer izq instala-fácil, blíster, Basic",Hermex,139,199,165,10,1,Cerraduras de sobreponer
CS-75IC,43589,7506240643128,17506240643125,27506240643122,Pieza,"Cerradura sobreponer izq instala-fácil, cromada, tradicional",Hermex,159,229,189,10,1,Cerraduras de sobreponer
CS-75IP,27046,7506240675877,17506240675874,27506240675871,Pieza,"Cerradura sobreponer izq instala-fácil, caja, Hermex Basic",Hermex,129,187,155,10,1,Cerraduras de sobreponer
CS-80D,43528,7501206676684,17501206676681,27501206676688,Pieza,"Cerradura sobreponer derecha clásica, llave tetra, caja",Hermex,255,369,305,10,1,Cerraduras de sobreponer
CS-80DB,43529,7501206676691,17501206676698,27501206676695,Pieza,"Cerradura sobreponer derecha clásica, llave tetra, blíster",Hermex,265,385,319,10,1,Cerraduras de sobreponer
CS-80I,43530,7501206676707,17501206676704,27501206676701,Pieza,"Cerradura sobreponer izquierda clásica, llave tetra, caja",Hermex,255,369,305,10,1,Cerraduras de sobreponer
CS-80IB,43531,7501206676721,17501206676728,27501206676725,Pieza,"Cerradura sobreponer izquierda clásica, llave tetra, blíster",Hermex,265,385,319,10,1,Cerraduras de sobreponer
CS-85D,43578,7501206676745,17501206676742,27501206676749,Pieza,"Cerradura sobreponer der instala-fácil, llave tetra, caja",Hermex,255,369,305,10,1,Cerraduras de sobreponer
CS-85DB,43587,7501206676769,17501206676766,27501206676763,Pieza,"Cerradura sobreponer der instala-fácil, llave tetra, blíster",Hermex,265,385,319,10,1,Cerraduras de sobreponer
CS-85I,43577,7501206676738,17501206676735,27501206676732,Pieza,"Cerradura sobreponer izq instala-fácil, llave tetra, caja",Hermex,255,369,305,10,1,Cerraduras de sobreponer
CS-85IB,43586,7501206676752,17501206676759,27501206676756,Pieza,"Cerradura sobreponer izq instala-fácil, llave tetra, blíster",Hermex,265,385,319,10,1,Cerraduras de sobreponer
CS-90D,43482,7501206677476,17501206677473,27501206677470,Pieza,"Cerradura sobreponer der 2 barras clásica, llave tradicional",Hermex,595,865,715,10,1,Cerraduras de sobreponer
CS-90I,43483,7501206677483,17501206677480,27501206677487,Pieza,"Cerradura sobreponer izq 2 barras clásica, llave tradicional",Hermex,595,865,715,10,1,Cerraduras de sobreponer
CS-92,43484,7501206677490,17501206677497,27501206677494,Pieza,"Cerradura de sobreponer 2 barras instala-fácil, llave puntos",Hermex,575,835,689,10,1,Cerraduras de sobreponer
CS-93,43488,7501206677506,17501206677503,27501206677500,Pieza,"Cerradura de sobreponer 3 barras instala-fácil, llave puntos",Hermex,575,835,689,10,1,Cerraduras de sobreponer
CS-95D,43490,7506240633778,17506240633775,27506240633772,Pieza,"Cerradura sobreponer, puerta corrediza, instala-fácil, der.",Hermex,345,499,415,10,1,Cerraduras de sobreponer
CS-95I,43489,7506240633761,17506240633768,27506240633765,Pieza,"Cerradura sobreponer, puerta corrediza, instala-fácil, izq.",Hermex,345,499,415,10,1,Cerraduras de sobreponer
CT-10,12992,7501206630969,17501206630966,27501206630963,Pieza,"Cuchara para albañil 10' forjada tipo Filadelfia, Truper",Truper,155,225,185,10,1,Cucharas de albañil
CT-10B,11232,7506240661177,17506240661174,27506240661171,Pieza,"Cuchara p/ albañil 10' forjada tipo Filadelfia, Comfort Grip",Truper,155,225,185,10,1,Cucharas de albañil
CT-10C,13007,7501206602461,17501206602468,27501206602465,Pieza,"Cuchara para albañil 10' forjada tipo Centroamericana,Truper",Truper,155,225,185,10,1,Cucharas de albañil
CT-10P,21054,7501206632536,17501206632533,27501206632530,Pieza,"Cuchara para albañil 10' tipo Filadelfia, Pretul",Pretul,60,87,72,10,1,Cucharas de albañil
CT-10PC,20545,7506240614470,17506240614477,27506240614474,Pieza,"Cuchara para albañil 10' tipo centroamericana, Pretul",Pretul,65,95,78,10,1,Cucharas de albañil
CT-11,12993,7501206632468,17501206632465,27501206632462,Pieza,"Cuchara para albañil 11' forjada tipo Filadelfia, Truper",Truper,165,239,199,10,1,Cucharas de albañil
CT-11B,11234,7506240661184,17506240661181,27506240661188,Pieza,"Cuchara p/ albañil 11' forjada tipo Filadelfia, Comfort Grip",Truper,165,239,199,10,1,Cucharas de albañil
CT-11P,21055,7501206634264,17501206634261,27501206634268,Pieza,"Cuchara para albañil 11' tipo Filadelfia, Pretul",Pretul,65,95,78,10,1,Cucharas de albañil
CT-12,102616,7502309734691,17502309734698,27502309734695,Pieza,"Cuchara para albañil, tipo Filadelfia 12', Truper",Truper,175,255,209,10,1,Cucharas de albañil
CT-12B,102617,7502309734707,17502309734704,27502309734701,Pieza,"Cuchara p/ albañil 12' forjada tipo Filadelfia, Comfort Grip",Truper,175,255,209,10,1,Cucharas de albañil
CT-6,12990,7501206630945,17501206630942,27501206630949,Pieza,"Cuchara para albañil 6' forjada tipo Filadelfia, Truper",Truper,125,182,149,10,1,Cucharas de albañil
CT-608,14186,7501206656334,17501206656331,27501206656338,Pieza,"Carda copa 3' alambre trenzado fino, eje 5/8'-11, Truper",Truper,89,139,115,10,1,Cardas
CT-608M,14184,7501206656310,17501206656317,27501206656314,Pieza,"Carda copa 3' alambre trenzado fino, eje M14, Truper",Truper,89,139,115,10,1,Cardas
CT-608MR,100851,7506240679073,17506240679070,27506240679077,Pieza,"Carda copa 3' alambre trenzado fino, Multi-rosca, Truper",Truper,89,139,115,10,1,Cardas
CT-608MRX,100854,7506240679103,17506240679100,27506240679107,Pieza,"Carda copa 3' alambre trenzado grueso, Multi-rosca, Truper",Truper,89,139,115,10,1,Cardas
CT-608MX,17530,7506240621652,17506240621659,27506240621656,Pieza,"Carda copa 3' alambre trenzado grueso, eje M14, Truper",Truper,89,139,115,10,1,Cardas
CT-608X,17529,7506240621645,17506240621642,27506240621649,Pieza,"Carda copa 3' alambre trenzado grueso, eje 5/8'-11, Truper",Truper,89,139,115,10,1,Cardas
CT-610,14187,7501206656341,17501206656348,27501206656345,Pieza,"Carda copa 4' alambre trenzado fino, eje 5/8'-11, Truper",Truper,145,229,189,10,1,Cardas
CT-610M,14185,7501206656327,17501206656324,27501206656321,Pieza,"Carda copa 4' alambre trenzado fino, eje M14, Truper",Truper,145,229,189,10,1,Cardas
CT-610MR,100852,7506240679080,17506240679087,27506240679084,Pieza,"Carda copa 4' alambre trenzado fino, Multi-rosca, Truper",Truper,139,219,179,10,1,Cardas
CT-610MRX,100855,7506240679110,17506240679117,27506240679114,Pieza,"Carda copa 4' alambre trenzado grueso, Multi-rosca, Truper",Truper,139,219,179,10,1,Cardas
